longitude,latitude,year,lithology,GWL,rainfall_mm,soil_thickness,normalized_urban_load_proxy,subsidence,subsidence_cum,city,lithology_class,GWL_depth_bgs,GWL_depth_bgs_z,soil_thickness_censored,soil_thickness_imputed,soil_thickness_eff,urban_load_global,z_surf,head_m,GWL_depth_bgs_raw,z_surf_raw,GWL_depth_bgs_m,z_surf_corr,z_surf_flag_outlier,z_surf_m
113.395042,22.805435,2015,Shale–Limestone,54.37181587,955.7236769907844,4.39,0.4545454545445372,13.757813,13.757813,Nansha,Mixed Clastics,54.37181587,0.2013408031426248,False,4.39,4.39,0.454545454545379,-3.0,-3.5437181587,54.37181587,-3.0,0.5437181587,-3.0,False,-3.0
113.392967,22.806471,2015,Tuff–Sandstone,93.96328356,955.7236769907844,2.64,0.2727272727267216,13.24285,13.24285,Nansha,Mixed Clastics,93.96328356,1.33160790090465,False,2.64,2.64,0.2727272727272267,-3.0,-3.9396328356,93.96328356,-3.0,0.9396328356,-3.0,False,-3.0
113.403336,22.807508,2015,Limestone–Sandstone,90.9404383,955.7236769907844,2.46,0.1818181818178149,15.240791,15.240791,Nansha,Mixed Clastics,90.9404383,1.2453109602164203,False,2.46,2.46,0.1818181818181516,1.0,0.0905956169999999,90.9404383,1.0,0.909404383,1.0,False,1.0
113.380005,22.802841,2015,Conglomerate–Sandstone,15.41304254,905.4224308333746,1.01,0.0,4.774045,4.774045,Nansha,Coarse-Grained Soil,15.41304254,-0.9108639781716515,False,1.01,1.01,0.0,-2.0,-2.1541304254,15.41304254,-2.0,0.1541304254,-2.0,False,-2.0
113.386223,22.819954,2015,Limestone–Sandstone,49.09825206,905.4224308333746,3.15,0.1818181818178154,10.158254,10.158254,Nansha,Mixed Clastics,49.09825206,0.0507897877303556,False,3.15,3.15,0.1818181818181521,-3.0,-3.4909825206,49.09825206,-3.0,0.4909825206,-3.0,False,-3.0
113.381561,22.823584,2015,Shale–Limestone,84.24815047,905.4224308333746,3.07,0.4545454545445364,5.402907,5.402907,Nansha,Mixed Clastics,84.24815047,1.0542578575067991,False,3.07,3.07,0.4545454545453782,-2.0,-2.8424815047000003,84.24815047,-2.0,0.8424815047,-2.0,False,-2.0
113.385704,22.823584,2015,Limestone–Sandstone,20.66836878,905.4224308333746,4.33,0.1818181818178179,9.919412,9.919412,Nansha,Mixed Clastics,20.66836878,-0.7608336134580513,False,4.33,4.33,0.1818181818181546,-5.0,-5.2066836878,20.66836878,-5.0,0.2066836878,-5.0,False,-5.0
113.386223,22.822548,2015,Limestone–Sandstone,73.18564997,905.4224308333746,1.02,0.1818181818178159,10.381772,10.381772,Nansha,Mixed Clastics,73.18564997,0.7384428331174885,False,1.02,1.02,0.1818181818181526,-3.0,-3.7318564997,73.18564997,-3.0,0.7318564997,-3.0,False,-3.0
113.406967,22.845364,2015,Mudstone–Siltstone,10.55790607,955.7236769907844,1.6,0.9999999999979798,7.280231,7.280231,Nansha,Fine-Grained Soil,10.55790607,-1.0494696254831686,False,1.6,1.6,0.9999999999998318,-3.0,-3.1055790607,10.55790607,-3.0,0.1055790607,-3.0,False,-3.0
113.38208,22.847439,2015,Conglomerate–Sandstone,67.14431792,905.4224308333746,0.72,0.0,6.549872,6.549872,Nansha,Coarse-Grained Soil,67.14431792,0.5659733784300358,False,0.72,0.72,0.0,-1.0,-1.6714431792000002,67.14431792,-1.0,0.6714431792000001,-1.0,False,-1.0
113.398155,22.84692,2015,Mudstone–Siltstone,16.36983546,955.7236769907844,1.99,0.9999999999979792,11.523785,11.523785,Nansha,Fine-Grained Soil,16.36983546,-0.883549215169804,False,1.99,1.99,0.9999999999998312,0.0,-0.1636983546,16.36983546,0.0,0.1636983546,0.0,False,0.0
113.399712,22.840178,2015,Conglomerate–Sandstone,66.60947515,955.7236769907844,1.06,4.485749594444726e-16,9.410131,9.410131,Nansha,Coarse-Grained Soil,66.60947515,0.550704553587768,False,1.06,1.06,4.485749594453034e-16,-5.0,-5.6660947515,66.60947515,-5.0,0.6660947515,-5.0,False,-5.0
113.392967,22.873367,2015,Sandstone–Siltstone,84.24359438,955.7236769907844,0.75,0.5454545454534449,7.889533,7.889533,Nansha,Mixed Clastics,84.24359438,1.054127789112726,False,0.75,0.75,0.545454545454455,0.0,-0.8424359438000001,84.24359438,0.0,0.8424359438000001,0.0,False,0.0
113.409042,22.869736,2015,Limestone–Sandstone,37.13902244,955.7236769907844,2.35,0.1818181818178149,4.357711,4.357711,Nansha,Mixed Clastics,37.13902244,-0.290625283312368,False,2.35,2.35,0.1818181818181516,-2.0,-2.3713902244,37.13902244,-2.0,0.3713902243999999,-2.0,False,-2.0
113.375336,22.862476,2015,Limestone–Sandstone,8.730444524,905.4224308333746,3.42,0.181818181817815,2.276759,2.276759,Nansha,Mixed Clastics,8.730444524,-1.1016404536535735,False,3.42,3.42,0.1818181818181517,-1.0,-1.08730444524,8.730444524,-1.0,0.08730444524,-1.0,False,-1.0
113.381561,22.867144,2015,Tuff–Sandstone,73.44540272,905.4224308333746,0.74,0.2727272727267222,6.269927,6.269927,Nansha,Mixed Clastics,73.44540272,0.745858319433303,False,0.74,0.74,0.2727272727272273,2.0,1.2655459728,73.44540272,2.0,0.7344540272000001,2.0,False,2.0
113.398155,22.895145,2015,Sandstone–Siltstone,48.31492367,955.7236769907844,2.49,0.5454545454534442,7.552397,7.552397,Nansha,Mixed Clastics,48.31492367,0.0284271334106844,False,2.49,2.49,0.5454545454544544,0.0,-0.4831492367,48.31492367,0.0,0.4831492367,0.0,False,0.0
113.389854,22.890997,2015,Tuff–Sandstone,7.205880695,955.7236769907844,3.76,0.2727272727267222,8.636873,8.636873,Nansha,Mixed Clastics,7.205880695,-1.145164082225495,False,3.76,3.76,0.2727272727272273,-2.0,-2.07205880695,7.205880695,-2.0,0.07205880695,-2.0,False,-2.0
113.382599,22.885813,2015,Conglomerate–Sandstone,22.03357161,905.4224308333746,4.48,6.728624391667089e-16,6.008729,6.008729,Nansha,Coarse-Grained Soil,22.03357161,-0.72185946244646,False,4.48,4.48,6.72862439167955e-16,-3.0,-3.2203357161,22.03357161,-3.0,0.2203357161,-3.0,False,-3.0
113.389336,22.891516,2015,Sandstone–Siltstone,70.59087015,905.4224308333746,2.07,0.545454545453444,8.434244,8.434244,Nansha,Mixed Clastics,70.59087015,0.6643664114135355,False,2.07,2.07,0.5454545454544542,-1.0,-1.7059087015,70.59087015,-1.0,0.7059087015000001,-1.0,False,-1.0
