longitude,latitude,year,GWL,seismic_risk_score,rainfall_mm,subsidence,geology,normalized_density,density_tier,subsidence_intensity,density_concentration,normalized_seismic_risk_score,rainfall_category
113.199028,22.643114,2022,1.503591417,-19.25425085,2068.708648,11.96,Gravelly Soil,0.558160934,Medium,Minimal,Moderate,0.060904506,Medium
113.169006,22.672424,2017,1.537869208,-19.40669431,1764.620407,4.45,Gravelly Soil,0.487207432,Medium,Minimal,Moderate,0.020647411,Medium
113.212624,22.650602,2016,1.21385041,-19.14029938,2711.111299,37.71,Gravelly Soil,0.524909234,Medium,Moderate,Moderate,0.175362554,High
113.159653,22.66361,2017,1.76106174,-19.12561725,1813.523542,13.08,Gravelly Soil,0.512983788,Medium,Minimal,Moderate,0.067354844,Medium
113.165176,22.672033,2016,0.911185264,-19.33103856,2609.482569,21.05,Residual Soil,0.309581389,Low,Minimal,Sparse,0.106009843,High
113.208488,22.672478,2021,1.303456122,-19.53748062,1832.475496,4.76,Gravelly Soil,0.529687667,Medium,Minimal,Moderate,0.018954692,Medium
113.203171,22.650381,2023,1.440335619,-19.29267955,1855.018769,11.55,Gravelly Soil,0.515983851,Medium,Minimal,Moderate,0.058332415,Medium
113.214516,22.647749,2023,2.423888093,-19.06660569,2039.390651,45.21,Gravelly Soil,0.613130693,Medium,Moderate,Moderate,0.177859787,Medium
113.16584,22.670118,2018,0.914116146,-19.3198298,2328.789302,11.33,Residual Soil,0.316411405,Low,Minimal,Sparse,0.069289794,High
113.205765,22.636198,2016,1.243409778,-19.04054684,2504.997736,9.01,Residual Soil,0.264912973,Low,Minimal,Sparse,0.070971019,High
113.206871,22.661144,2021,1.340657698,-19.39251186,1844.661704,6.26,Rock,0.112224816,Low,Minimal,Sparse,0.035367543,Medium
113.205399,22.66758,2016,1.101698514,-19.51343764,2655.382661,29,Gravelly Soil,0.542549701,Medium,Moderate,Moderate,0.119146229,High
